,asset,amount,count,usd,tx_size
5,RAY,245.08475577419355,365,2.34,573.4983285116128
6,SBR,48148.812507119655,1071,0.0296688,1428.5174885112315
10,scnSOL,47.83017329669983,678,84.53,4043.084548770037
4,MNGO,32812.98037742559,393,0.146569,4809.365720938892
7,SOL,105.74025647752106,13746,81.78,8647.438174731673
9,mSOL,138.87644020297066,2055,84.63,11753.113134377407
2,FTT,362.71307115848526,904,41.03,14882.117309632651
8,SRM,8451.356680029521,692,1.81,15296.955590853433
1,ETH,6.140785212345679,591,2604.56,15994.043532667061
3,LUNA,178.93636720669858,1716,91.42,16358.362690036383
0,BTC,1.1701507092511012,974,39206.0,45876.928706898674
